;	"imported from Korean version at 2007-09-20,오후 5:12:22."																																																																															
;	바우트 몬스터 스크립트(전체 )																																																																															
;	이 파일 건드리지 마시오.																																																																															
;	지우지도 마시오.																																																																															
;	보지도 마시오.																																																																															
;	뭐든지 금지!																																																																															
;	뭔가를 하려면 개별 엑셀 원본 (\엑셀원본\행성\p*.* 을 수정하세요)																																																																															
;	p_monai(p01)																																																																															
;	#바우트 몬스터 스크립트(부분)																																																																															
;	2007/09/20*																																																																															
;	필드별 설명을 보고 싶으면 bt_몬스터AI.doc 문서를 보시오.																																																																															
;	"P01 ""트레이닝플래닛"" 몬스터/보스 : 레벨00"																																																																															
;	기본정보			기본난이도	L	2 	D	37							Base전 전용						AI 구성 요소(소수 안됨)																					AI 추가 구성 요소(소수 안됨)																몬스터속성																						
;	INDEX	이름	그림 index	Life	D1	D2	총알데미지	변신취급	회복%	회복타입	점령형	파워업	대변공	대변방	Life가중	D1가중	D2가중	총뎀가중	본진취급	성향	점프추적	AI	총알idx	감지시야	추격시야	걷기시야	추격y	추격-y	총쏨min	총쏨max	지상공격	걷점공격	달점공격	헬프시야	점공%	총쏨%	막기%	총막기%	막기시야	소심%	헬프요%	분노%	패턴1	패턴2	패턴3	패턴4	패턴5	특수결정	카운터	공격속성	도망확률	위기탈출	승룡권	난무필살	(예비)	(예비)	(예비)	클리핑	충돌	부활	파괴불가	무적시간	다운타입	방향전환	그림자	이름표	지형충돌	움직임	총쏨위선	렌더옵션	크기%	건물형	앞무적	앞오무적	오른무적	뒤오무적	뒤무적	뒤왼무적	왼무적	앞왼무적
	0	Slapper	0	65 	7 	10 	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	400	700	400	0	0	0	0	150	250	300	700	20	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0
	1	Cruncher	1	273 	10 	14 	0	0	0	0	0	0	1000 	100 	0	0	0	0	0	0	0	0	0	500	1000	400	0	0	0	0	100	250	300	2800	20	0	0	0	0	100	0	0	200015	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
	2	Ganda	2	65 	7 	10 	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	500	700	400	0	0	0	0	120	250	300	2800	20	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
	3	Bubbleboy	3	1475 	57 	73 	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	400	700	400	0	0	0	0	120	250	300	700	20	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0
	4	Morlock	6	1844 	33 	42 	0 	1 	0 	0 	0 	0 	1150 	100 	0	0	0	0	0	0	0	0	0	1200	800	400	0	0	0	0	120	250	300	2000	20	0	8	20	296	0	20	10	200020	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
;	p_monai(p02)																																																																															
;	#바우트 몬스터 스크립트(부분)																																																																															
;	2005/09/26*																																																																															
;	필드별 설명을 보고 싶으면 bt_몬스터AI.doc 문서를 보시오.																																																																															
;	"P02 ""트레이닝링"" 몬스터/보스 : 레벨 01"																																																																															
;	기본정보			기본난이도	L	1 	D	15							Base전 전용						AI 구성 요소(소수 안됨)																																					몬스터속성																						
;	INDEX	이름	그림 index	Life	D1	D2	총알데미지	변신취급	회복%	회복타입	점령형	파워업	대변공	대변방	Life가중	D1가중	D2가중	총뎀가중	본진취급	성향	점프추적	AI	총알idx	감지시야	추격시야	걷기시야	추격y	추격-y	총쏨min	총쏨max	지상공격	걷점공격	달점공격	헬프시야	점공%	총쏨%	막기%	총막기%	막기시야	소심%	헬프요%	분노%	패턴1	패턴2	패턴3	패턴4	패턴5	특수결정	카운터	공격속성	도망확률	위기탈출	승룡권	난무필살	(예비)	(예비)	(예비)	클리핑	충돌	부활	파괴불가	무적시간	다운타입	방향전환	그림자	이름표	지형충돌	움직임	총쏨위선	렌더옵션	크기%	건물형	앞무적	앞오무적	오른무적	뒤오무적	뒤무적	뒤왼무적	왼무적	앞왼무적
	10	Slapper	0	125 	17 	22 	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	10000	10000	400	0	0	0	0	120	250	300	700	20	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
	11	EliteGanda	2	895 	27 	39 	0 	0 	0	0	0	0	1200 	100 	0	0	0	0	0	0	0	0	0	650	1200	400	0	0	0	0	140	250	300	2800	20	0	12	50	296	30	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	3	170	0	0	0	0	0	0	0	0	0
	12	Ganda	2	125 	17 	22 	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	10000	10000	400	0	0	0	0	120	250	300	2800	20	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
	14	Gamma	5	145 	16 	25 	0	0	0	0	0	0	1000	100	0	0	0	0	0	0	0	0	0	700	600	400	0	0	0	0	100	250	300	800	0	0	10	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0
;	p_monai(p03)																																																																															
;	#바우트 몬스터 스크립트(부분)																																																																															
;	2005/09/26*																																																																															
;	필드별 설명을 보고 싶으면 bt_몬스터AI.doc 문서를 보시오.																																																																															
;	"P03 ""메간토입구"" 몬스터/보스  : 레벨 05"																																																																															
;	기본정보			기본난이도	L	1 	D	15							Base전 전용						AI 구성 요소(소수 안됨)																																					몬스터속성																						
;	INDEX	이름	그림 index	Life	D1	D2	총알데미지	변신취급	회복%	회복타입	점령형	파워업	대변공	대변방	Life가중	D1가중	D2가중	총뎀가중	본진취급	성향	점프추적	AI	총알idx	감지시야	추격시야	걷기시야	추격y	추격-y	총쏨min	총쏨max	지상공격	걷점공격	달점공격	헬프시야	점공%	총쏨%	막기%	총막기%	막기시야	소심%	헬프요%	분노%	패턴1	패턴2	패턴3	패턴4	패턴5	특수결정	카운터%	공격속성	도망확률	위기탈출	승룡권	난무필살	(예비)	(예비)	(예비)	클리핑	충돌	부활	파괴불가	무적시간	다운타입	방향전환	그림자	이름표	지형충돌	움직임	총쏨위선	렌더옵션	크기%	건물형	앞무적	앞오무적	오른무적	뒤오무적	뒤무적	뒤왼무적	왼무적	앞왼무적
	23	Shoveler	4	187 	18 	23 	0 	0 	0	0	0	0	1000 	0	0	0	0	0	0	0	0	0	0	400	700	400	0	0	0	0	120	250	300	700	20	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
	24	Constructor	13	310 	22 	28 	0 	0 	0	0	0	0	1000 	200 	0	0	0	0	0	0	1	0	0	500	400	400	0	0	0	0	120	250	300	700	0	0	30	30	240	0	0	0	200010	200014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0
	25	Gamma	5	187 	25 	33 	0	0	0	0	0	0	1000	100	0	0	0	0	0	0	0	0	0	700	600	400	0	0	0	0	100	250	300	800	0	0	10	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0
	21	Sircam	7	467 	20 	25 	0 	1 	0	0	0	0	1000 	0	0	0	0	0	0	0	0	0	0	500	700	400	0	0	0	0	120	250	300	700	5	0	0	0	296	0	0	100	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
	26	Blaster	8	2240 	28 	35 	0 	1 	0	0	0	0	1200 	200 	0	0	0	0	0	0	0	0	0	500	500	400	0	0	0	0	200	250	300	2800	35	0	20	0	0	0	0	100	200020	0	0	0	0	1	100	1	10	0	0	0	0	0	0	0	0	-1	0	500	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
;	p_monai(p04)																																																																															
;	#바우트 몬스터 스크립트(부분)																																																																															
;	2005/09/26*																																																																															
;	필드별 설명을 보고 싶으면 bt_몬스터AI.doc 문서를 보시오.																																																																															
;	"P04 ""메간토"" 몬스터/보스 : 레벨 10"																																																																															
;	기본정보			기본난이도	L	1 	D	15							Base전 전용						AI 구성 요소(소수 안됨)																																					몬스터속성																						
